club,membership_2024
Collingwood,110628
Carlton,106345
West Coast,103498
Richmond,98489
Geelong,90798
Hawthorn,83823
Essendon,83664
Adelaide,75477
Sydney,73757
Port Adelaide,66015
Melbourne,65479
Brisbane,63268
Western Bulldogs,62328
Fremantle,62237
St Kilda,60467
North Melbourne,50628
GWS,36629
Gold Coast,26157
